MET,Alt_CG_Geod_CM (ft),Latitude_CG_Geod (radians),Longitude_CG_Geod (radians),Alt_CG_Geod_LAS (ft),Latitude_CG_Geod (radians),Longitude_CG_Geod (radians),Alt_CG_Geod_Booster (ft),Latitude_CG_Geod (radians),Longitude_CG_Geod (radians),Quat1_s (CM),Quat1_v0 (CM),Quat1_v1 (CM),Quat1_v2 (CM),Quat1_s (LAS),Quat1_v0 (LAS),Quat1_v1 (LAS),Quat1_v2 (LAS),Quat1_s (Booster),Quat1_v0 (Booster),Quat1_v1 (Booster),Quat1_v2 (Booster),Engine Flag,reserved
0.5,-45.537231,0.49669454,-1.4054857,-45.537231,0.49669454,-1.4054851,-45.537231,0.49669454,-1.4054849,0.447309483,0.54865837,0.44564581,-0.54798543,0.447309483,0.54865837,0.44564581,-0.54798543,0.447309483,0.54865837,0.44564581,-0.54798543,0,0
0.525,-45.537136,0.49669454,-1.4054857,-45.537136,0.49669454,-1.4054851,-45.537136,0.49669454,-1.4054849,0.447341212,0.54863286,0.44559801,-0.54802394,0.447341212,0.54863286,0.44559801,-0.54802394,0.447341212,0.54863286,0.44559801,-0.54802394,0,0
0.55,-45.537083,0.49669454,-1.4054857,-45.537083,0.49669454,-1.4054851,-45.537083,0.49669454,-1.4054849,0.44736812,0.54861379,0.44554022,-0.54806805,0.44736812,0.54861379,0.44554022,-0.54806805,0.44736812,0.54861379,0.44554022,-0.54806805,0,0
0.575,-45.536995,0.49669454,-1.4054857,-45.536995,0.49669454,-1.4054851,-45.536995,0.49669454,-1.4054849,0.44739094,0.5485931,0.44549471,-0.54810715,0.44739094,0.5485931,0.44549471,-0.54810715,0.44739094,0.5485931,0.44549471,-0.54810715,0,0
0.6,-45.536964,0.49669454,-1.4054857,-45.536964,0.49669454,-1.4054851,-45.536964,0.49669454,-1.4054849,0.447413997,0.54857928,0.44544902,-0.54813927,0.447413997,0.54857928,0.44544902,-0.54813927,0.447413997,0.54857928,0.44544902,-0.54813927,0,0
0.625,-45.536953,0.49669454,-1.4054857,-45.536953,0.49669454,-1.4054851,-45.536953,0.49669454,-1.4054849,0.447440491,0.54856378,0.44539499,-0.54817706,0.447440491,0.54856378,0.44539499,-0.54817706,0.447440491,0.54856378,0.44539499,-0.54817706,0,0
0.65,-45.536869,0.49669454,-1.4054857,-45.536869,0.49669454,-1.4054851,-45.536869,0.49669454,-1.4054849,0.447459841,0.54854023,0.44535297,-0.54821897,0.447459841,0.54854023,0.44535297,-0.54821897,0.447459841,0.54854023,0.44535297,-0.54821897,0,0
0.675,-45.536869,0.49669454,-1.4054857,-45.536869,0.49669454,-1.4054851,-45.536869,0.49669454,-1.4054849,0.44747466,0.54852682,0.44530886,-0.54825616,0.44747466,0.54852682,0.44530886,-0.54825616,0.44747466,0.54852682,0.44530886,-0.54825616,0,0
0.7,-45.536926,0.49669454,-1.4054857,-45.536926,0.49669454,-1.4054851,-45.536926,0.49669454,-1.4054849,0.447502251,0.54850733,0.44527009,-0.54828459,0.447502251,0.54850733,0.44527009,-0.54828459,0.447502251,0.54850733,0.44527009,-0.54828459,0,0
0.725,-45.537052,0.49669454,-1.4054857,-45.537052,0.49669454,-1.4054851,-45.537052,0.49669454,-1.4054849,0.447521208,0.54849505,0.44522858,-0.54831511,0.447521208,0.54849505,0.44522858,-0.54831511,0.447521208,0.54849505,0.44522858,-0.54831511,0,0
